Level1;Level2;Primarykey;Time;Alt;Lat;Long;Sat;Spd;move;dir;mps;kmph
POI;drive;1634722885;11:41:28;52.5;59.414598;18.019024;5;14.1;9.778;348;8.1;29
POI;drive;1634723234;11:47:17;22.4;59.368777;18.051328;4;18.1;5.413;160;15.5;55
POI;drive;1634723494;11:51:38;45.5;59.345722;18.014995;7;17;3.288;219;12.6;45
POI;drive;1634723504;11:51:47;43.9;59.345952;18.012108;0;17;0.165;279;16.5;59
POI;drive;1634723515;11:51:57;86.3;59.345013;18.010534;4;11.1;0.137;221;12.4;44
POI;drive;1634723525;11:52:07;68.6;59.342923;18.00921;6;16.3;0.244;198;24.4;87
POI;drive;1634723534;11:52:16;101.1;59.341554;18.009862;3;16.3;0.156;166;17.4;62
POI;drive;1634723544;11:52:27;104.6;59.339775;18.011159;4;18.6;0.211;160;21.1;75
POI;drive;1634723575;11:52:57;38.9;59.334217;18.009704;5;20;0.623;188;20.1;72
POI;drive;1634723584;11:53:07;39.9;59.332352;18.009835;5;21.4;0.207;178;23;83
POI;drive;1634723683;11:54:46;59.2;59.319106;17.997478;4;19.1;1.631;205;16.4;59
POI;drive;1634723694;11:54:56;57.9;59.317746;17.999352;5;15.2;0.184;145;16.8;60
POI;drive;1634723703;11:55:06;53.5;59.316635;18.000845;5;16.6;0.149;146;16.6;59
POI;drive;1634723714;11:55:16;50;59.315412;18.002558;4;16.3;0.167;144;15.1;54
POI;drive;1634723783;11:56:26;66.4;59.304915;18.017223;7;24;1.433;145;20.7;74
POI;drive;1634723823;11:57:06;69.2;59.299608;18.012944;4;21.6;0.638;202;15.9;57
POI;drive;1634723944;11:59:07;70.2;59.290777;17.978537;7;21;2.186;243;18;65
POI;drive;1634727614;13:00:17;71.7;59.187978;17.628257;6;0.7;22.967;240;6.2;22
POI;drive;1634728064;13:07:48;65.7;59.205392;17.683061;7;28.4;3.672;58;8.1;29
POI;drive;1634728074;13:07:57;51;59.206827;17.687534;0;28.4;0.3;58;30;108
POI;drive;1634728214;13:10:17;61.9;59.212177;17.753411;5;28.5;3.796;81;27.1;97
POI;drive;1634728274;13:11:17;48.7;59.216678;17.779702;4;27.3;1.577;71;26.2;94
POI;drive;1634728284;13:11:27;101.3;59.218837;17.782335;3;27.1;0.282;32;28.2;101
POI;drive;1634728294;13:11:37;99.6;59.221581;17.783732;4;30;0.315;15;31.5;113
POI;drive;1634728445;13:14:07;52.8;59.241882;17.837216;6;5.9;3.788;53;25;90
POI;drive;1634728554;13:15:57;39.4;59.254599;17.870262;7;20;2.351;53;21.5;77
POI;drive;1634729244;13:27:28;50.5;59.324238;18.000444;7;14.7;10.705;44;15.5;55
POI;drive;1634729774;13:36:17;37.4;59.388314;18.043464;6;19.2;7.53;19;14.2;51
POI;drive;1634729784;13:36:27;40.4;59.390067;18.043658;5;18.3;0.195;3;19.5;70
POI;drive;1634729794;13:36:37;48.1;59.391764;18.044204;3;18.2;0.191;9;19.1;68
POI;drive;1634729804;13:36:47;24.6;59.393242;18.043057;4;19.2;0.176;338;17.6;63
POI;drive;1634729894;13:38:17;33.3;59.408186;18.035002;7;20.2;1.723;345;19.1;68
POI;drive;1634729904;13:38:27;39.7;59.4092;18.035126;9;6.8;0.112;4;11.2;40
POI;drive;1634729914;13:38:37;35.2;59.409542;18.035029;6;6.8;0.038;352;3.8;13
POI;drive;1634729934;13:38:57;41.1;59.410224;18.032001;8;3.9;0.187;294;9.3;33
POI;drive;1634729944;13:39:07;44.1;59.410603;18.031192;6;8.5;0.062;313;6.2;22
POI;drive;1634729994;13:39:57;61.7;59.413894;18.021572;6;14.2;0.655;304;13.1;47
POI;drive;1634730004;13:40:07;48.3;59.414609;18.01925;4;14.3;0.153;301;15.3;55
POI;drive;1634730014;13:40:17;36;59.415396;18.017112;5;15;0.149;306;14.9;53
POI;drive;1634730024;13:40:27;36.7;59.415908;18.015085;4;14.3;0.128;296;12.8;46
POI;drive;1634730034;13:40:37;77;59.416343;18.012671;5;13.8;0.144;290;14.4;52
POI;drive;1634730044;13:40:47;75.1;59.41702;18.010795;4;13.5;0.13;305;13;46
POI;drive;1634730134;13:42:17;53.4;59.426223;17.998101;7;9.1;1.25;325;13.8;50
POI;drive;1634730144;13:42:27;61.2;59.426788;17.998306;7;6.5;0.063;10;6.3;22
POI;drive;1634730154;13:42:37;42.7;59.427149;17.999587;7;8.4;0.082;61;8.2;29
POI;drive;1634730164;13:42:47;33.2;59.427566;18.000848;7;8.3;0.085;57;8.5;30
POI;drive;1634730174;13:42:57;30.8;59.428145;18.001663;6;8.2;0.079;36;7.9;28
POI;drive;1634730184;13:43:07;64.9;59.429001;18.002056;8;8.4;0.097;13;9.7;35
POI;drive;1634730204;13:43:27;65.9;59.430202;18.001603;5;7;0.135;349;6.7;24
POI;drive;1634730254;13:44:17;92.9;59.430421;17.998838;5;2.6;0.158;279;3.1;11
POI;drive;1634730264;13:44:27;96.8;59.43023;17.998869;6;0.2;0.021;175;2.1;7
POI;drive;1634730274;13:44:37;87.3;59.430401;17.998761;6;0.7;0.019;342;1.9;7
POI;drive;1634730304;13:45:07;47.9;59.430612;17.998799;5;0.7;0.023;5;0.7;2
POI;drive;1634730314;13:45:17;93.8;59.430596;17.99874;5;0.5;0.003;242;0.3;1
